;opcode,mnemonic,operands,flags,cycles,pseudocode
DC,CC,DATA16,,11/17,
DE,SBI,DATA8,,7,
DF,RST,3,,11,
E0,RPO,,,5/11,
E1,POP,H,,11,
E2,JPO,DATA16,,10,
E3,XTHL,,,18,
E4,CPO,DATA16,,11/17,
E5,PUSH,H,,11,
E6,ANI,DATA8,,7,
E7,RST,4,,11,
E8,RPE,,,5/11,
E9,PCHL,,,5,
EA,JPE,DATA16,,10,
EB,XCHG,,,4,
EC,CPE,DATA16,,11/17,
EE,XRI,DATA8,,7,
EF,RST,5,,11,
F0,RP,,,5/11,
F1,POP,PSW,,11,
F2,JP,DATA16,,10,
F3,DI,,interrupt,4,
F4,CP,DATA16,,11/17,
F5,PUSH,PSW,,11,
F6,ORI,DATA8,,7,
F7,RST,6,,11,
F8,RM,,,5/11,
F9,SPHL,,,5,
FA,JM,DATA16,,10,
FB,EI,,interrupt,4,
FC,CM,DATA16,,11/17,
FE,CPI,DATA8,,7,
FF,RST,7,,11,
